,number,value,datetime_start,datetime_complete,,,duration,act,h1,h2,f1,f2,k1,k2,lr,opt,p1,p2,s1,s2,state
28,28,0.029999999,04:52.3,05:31.7,0,39.493383,0 days 00:00:39.493383,relu,352,320,52,52,4,3,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,same,3,4,COMPLETE
29,29,0.01,04:58.2,05:38.9,0,40.704371,0 days 00:00:40.704371,relu,416,64,52,52,3,3,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,2,4,COMPLETE
30,30,0.071999997,05:18.8,06:00.8,0,42.086906,0 days 00:00:42.086906,elu,352,384,52,52,3,3,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,same,2,4,COMPLETE
31,31,0.039999999,05:19.1,05:58.4,0,39.227985,0 days 00:00:39.227985,elu,192,384,52,52,3,3,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,same,2,4,COMPLETE
32,32,0.066,05:20.7,06:01.2,0,40.5036,0 days 00:00:40.503600,elu,384,320,52,52,3,3,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,2,4,COMPLETE
33,33,0.059999999,05:20.7,06:03.3,0,42.57312,0 days 00:00:42.573120,elu,352,384,52,52,3,3,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,2,4,COMPLETE
34,34,0.068000004,05:22.8,06:00.3,0,37.48017,0 days 00:00:37.480170,relu,352,512,24,52,3,3,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,2,4,COMPLETE
35,35,0.01,05:25.5,06:07.9,0,42.351186,0 days 00:00:42.351186,relu,192,64,24,52,3,3,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,2,4,COMPLETE
36,36,0.052000001,05:26.0,06:08.7,0,42.704289,0 days 00:00:42.704289,relu,384,512,52,52,3,3,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,3,4,COMPLETE
37,37,0.024,05:29.0,06:07.9,0,38.986965,0 days 00:00:38.986965,relu,384,256,24,52,3,3,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,2,2,COMPLETE
38,38,0.01,05:31.7,06:13.5,0,41.778755,0 days 00:00:41.778755,tanh,416,64,24,48,3,5,0.1,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,2,2,COMPLETE
39,39,0.01,05:38.9,06:19.7,0,40.833263,0 days 00:00:40.833263,tanh,448,384,24,52,3,5,0.1,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,3,2,COMPLETE
40,40,0.112000003,05:58.4,06:40.5,0,42.124251,0 days 00:00:42.124251,tanh,448,480,40,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,2,4,COMPLETE
41,41,0.01,06:00.3,06:42.8,0,42.537781,0 days 00:00:42.537781,tanh,384,480,40,52,3,5,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,2,2,COMPLETE
42,42,0.01,06:00.8,06:42.9,0,42.075027,0 days 00:00:42.075027,tanh,448,96,48,48,3,5,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,2,2,COMPLETE
43,43,0.01,06:01.2,06:42.3,0,41.108094,0 days 00:00:41.108094,tanh,448,480,48,48,3,5,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,3,2,COMPLETE
44,44,0.01,06:03.3,06:44.0,0,40.766617,0 days 00:00:40.766617,tanh,448,480,48,48,3,5,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,3,2,COMPLETE
45,45,0.01,06:07.9,06:50.9,0,43.050954,0 days 00:00:43.050954,tanh,448,480,48,48,3,5,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,3,2,COMPLETE
46,46,0.01,06:07.9,06:47.8,0,39.886876,0 days 00:00:39.886876,tanh,288,96,48,48,4,5,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,3,4,COMPLETE
47,47,0.01,06:08.7,06:48.5,0,39.780868,0 days 00:00:39.780868,tanh,288,480,48,48,4,5,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,3,2,COMPLETE
48,48,0.01,06:13.5,06:54.1,0,40.564371,0 days 00:00:40.564371,tanh,448,96,48,48,4,5,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,3,4,COMPLETE
49,49,0.01,06:19.7,06:59.7,0,39.953869,0 days 00:00:39.953869,tanh,96,480,48,48,4,5,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,same,3,4,COMPLETE
50,50,0.01,06:40.5,07:19.8,0,39.266777,0 days 00:00:39.266777,tanh,448,480,40,48,4,5,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,3,4,COMPLETE
51,51,0.088,06:42.3,07:22.4,0,40.115,0 days 00:00:40.115000,tanh,448,480,40,48,4,5,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,2,4,COMPLETE
52,52,0.046,06:42.8,07:21.5,0,38.683336,0 days 00:00:38.683336,tanh,288,96,40,48,4,5,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,3,4,COMPLETE
53,53,0.075999998,06:42.9,07:22.7,0,39.755976,0 days 00:00:39.755976,tanh,288,256,40,24,4,5,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,valid,valid,3,4,COMPLETE
54,54,0.017999999,06:44.0,07:24.2,0,40.127235,0 days 00:00:40.127235,tanh,288,256,40,24,4,4,0.001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,3,4,COMPLETE
55,55,0.012,06:47.8,07:26.5,0,38.636514,0 days 00:00:38.636514,elu,64,256,40,24,4,4,0.001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,2,4,COMPLETE
56,56,0.012,06:48.5,07:26.3,0,37.80657,0 days 00:00:37.806570,elu,96,256,40,24,4,4,0.001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,2,4,COMPLETE
57,57,0.008,06:50.9,07:29.2,0,38.249555,0 days 00:00:38.249555,elu,96,448,40,24,4,4,0.001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,2,4,COMPLETE
58,58,0.01,06:54.1,07:32.7,0,38.630866,0 days 00:00:38.630866,elu,320,448,40,24,4,4,0.001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,2,4,COMPLETE
59,59,0.006,06:59.7,07:38.6,0,38.888524,0 days 00:00:38.888524,elu,64,448,40,24,5,4,1.00E-05,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,2,4,COMPLETE
60,60,0.008,07:19.8,07:58.2,0,38.413257,0 days 00:00:38.413257,elu,320,448,40,24,5,3,0.001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,2,4,COMPLETE
61,61,0.008,07:21.5,08:01.1,0,39.624137,0 days 00:00:39.624137,elu,320,448,40,24,5,4,0.001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,2,4,COMPLETE
62,62,0.022,07:22.4,07:59.9,0,37.476786,0 days 00:00:37.476786,elu,64,448,40,24,5,4,0.001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,2,3,COMPLETE
63,63,0.01,07:22.7,08:04.1,0,41.374285,0 days 00:00:41.374285,sigmoid,320,256,40,24,4,4,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,same,4,3,COMPLETE
64,64,0.01,07:24.2,08:02.2,0,38.050298,0 days 00:00:38.050298,sigmoid,320,448,40,24,4,4,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,same,4,3,COMPLETE
65,65,0.01,07:26.3,08:05.4,0,39.049351,0 days 00:00:39.049351,sigmoid,64,448,40,24,4,5,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,4,3,COMPLETE
66,66,0.01,07:26.5,08:04.8,0,38.295381,0 days 00:00:38.295381,sigmoid,320,448,64,24,5,5,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,4,1,COMPLETE
67,67,0.01,07:29.2,08:10.5,0,41.329185,0 days 00:00:41.329185,sigmoid,320,128,64,64,5,5,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,4,3,COMPLETE
68,68,0.01,07:32.7,08:12.4,0,39.638797,0 days 00:00:39.638797,sigmoid,128,128,64,64,4,5,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,4,3,COMPLETE
69,69,0.012,07:38.6,08:18.7,0,40.099846,0 days 00:00:40.099846,sigmoid,128,32,64,64,4,5,0.0001,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,4,3,COMPLETE
70,70,0.02,07:58.2,08:40.1,0,41.861299,0 days 00:00:41.861299,sigmoid,352,128,40,64,4,3,0.001,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,4,3,COMPLETE
71,71,0.016000001,07:59.9,08:41.0,0,41.138276,0 days 00:00:41.138276,sigmoid,128,416,64,40,4,3,0.0001,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,4,1,COMPLETE
72,72,0.01,08:01.1,08:41.7,0,40.598526,0 days 00:00:40.598526,sigmoid,128,32,64,40,4,3,0.0001,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,4,1,COMPLETE
73,73,0.012,08:02.2,08:43.4,0,41.151145,0 days 00:00:41.151145,selu,128,128,64,40,4,3,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,same,valid,4,1,COMPLETE
74,74,0.01,08:04.1,08:46.8,0,42.721451,0 days 00:00:42.721451,selu,32,128,64,40,4,3,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,same,valid,1,1,COMPLETE
75,75,0.029999999,08:04.8,08:46.6,0,41.808505,0 days 00:00:41.808505,selu,128,128,64,40,4,3,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,1,4,COMPLETE
76,76,0.012,08:05.4,08:45.3,0,39.932701,0 days 00:00:39.932701,selu,128,32,16,40,4,3,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,1,4,COMPLETE
77,77,0.01,08:10.5,08:47.2,0,36.732305,0 days 00:00:36.732305,selu,128,32,16,40,4,3,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,1,4,COMPLETE
78,78,0.012,08:12.4,08:47.4,0,35.013908,0 days 00:00:35.013908,selu,32,32,16,40,4,3,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,1,4,COMPLETE
79,79,0.064000003,08:18.7,08:47.9,0,29.196694,0 days 00:00:29.196694,selu,352,416,16,40,3,3,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,2,4,COMPLETE
