number,gen,f1,k1,p1,s1,act,f2,k2,p2,s2,h1,opt,opt__,lr,h2,fitness,method
66,16,48,5,same,3,selu,48,5,valid,3,448,RMSprop,RMSprop,0.0001,384,0.233999997,0
67,16,48,5,same,3,selu,48,5,valid,2,256,SGD,SGD,0.00001,320,0.211999997,0
68,17,48,5,same,3,selu,48,5,same,3,448,RMSprop,RMSprop,0.0001,384,0.388000011,0
69,17,48,5,same,3,selu,48,5,same,1,448,RMSprop,RMSprop,0.0001,480,0.345999986,0
70,17,48,5,same,3,selu,48,5,same,3,448,RMSprop,RMSprop,0.0001,512,0.312000006,0
71,17,24,3,same,2,selu,40,4,valid,2,256,SGD,SGD,0.00001,320,0.170000002,0
72,18,48,5,same,3,selu,48,5,same,3,448,RMSprop,RMSprop,0.0001,384,0.388000011,0
73,18,32,4,valid,2,selu,40,5,same,3,448,RMSprop,RMSprop,0.0001,256,0.365999997,0
74,18,48,5,same,1,relu,64,3,valid,2,448,RMSprop,RMSprop,0.0001,448,0.270000011,0
75,18,48,5,same,3,selu,48,5,same,3,448,SGD,SGD,0.00001,352,0.239999995,0
76,19,48,5,same,3,selu,48,5,same,3,448,RMSprop,RMSprop,0.0001,384,0.388000011,0
77,19,48,5,same,3,selu,48,5,same,3,448,RMSprop,RMSprop,0.0001,384,0.30399999,0
78,19,48,5,same,1,elu,64,3,valid,2,448,RMSprop,RMSprop,0.0001,448,0.254000008,0
79,19,48,5,valid,3,selu,32,5,same,3,448,RMSprop,RMSprop,0.0001,384,0.230000004,0
