,number,value,datetime_start,datetime_complete,,,duration,act,h1,h2,f1,f2,k1,k2,lr,opt,p1,p2,s1,s2,state
12,12,0.184,26:00.9,26:49.8,48.883187,0,0 days 00:00:48.883187,elu,448,192,64,32,4,5,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,valid,3,4,COMPLETE
13,13,0.143999994,26:01.4,27:18.6,17.111718,1,0 days 00:01:17.111718,relu,96,192,40,52,3,5,1.00E-05,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,valid,1,1,COMPLETE
14,14,0.164000005,26:04.9,26:48.3,43.400559,0,0 days 00:00:43.400559,selu,224,128,24,16,4,4,0.001,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,same,same,2,1,COMPLETE
15,15,0.093999997,26:06.6,26:48.0,41.401186,0,0 days 00:00:41.401186,tanh,448,320,40,40,4,3,1.00E-05,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,2,4,COMPLETE
16,16,0.200000003,26:10.8,26:52.5,41.695067,0,0 days 00:00:41.695067,elu,288,32,52,32,4,4,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,same,same,2,2,COMPLETE
17,17,0.175999999,26:13.5,26:56.8,43.287826,0,0 days 00:00:43.287826,elu,352,288,40,48,5,4,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,2,3,COMPLETE
18,18,0.109999999,26:20.9,27:04.6,43.639156,0,0 days 00:00:43.639156,selu,32,96,32,52,4,4,1.00E-05,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,4,2,COMPLETE
19,19,0.202000007,26:39.1,27:53.7,14.578018,1,0 days 00:01:14.578018,relu,256,352,24,16,5,4,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,1,1,COMPLETE
20,20,0.112000003,26:39.3,27:44.0,4.711386,1,0 days 00:01:04.711386,relu,256,32,24,16,5,4,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,same,1,1,COMPLETE
21,21,0.197999999,26:48.0,28:34.8,46.827184,1,0 days 00:01:46.827184,relu,256,224,48,16,5,4,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,1,1,COMPLETE
22,22,0.097999997,26:48.3,28:26.9,38.586324,1,0 days 00:01:38.586324,relu,256,32,48,64,5,4,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,valid,1,1,COMPLETE
23,23,0.100000001,26:49.8,28:32.6,42.786291,1,0 days 00:01:42.786291,relu,256,64,48,64,5,4,0.1,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,valid,1,1,COMPLETE
24,24,0.100000001,26:52.5,28:35.1,42.570237,1,0 days 00:01:42.570237,relu,256,352,48,64,5,4,0.01,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,valid,1,1,COMPLETE
25,25,0.100000001,26:56.8,28:41.4,44.608651,1,0 days 00:01:44.608651,relu,256,352,48,64,5,4,0.01,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,same,1,1,COMPLETE
26,26,0.100000001,26:56.9,28:41.2,44.321435,1,0 days 00:01:44.321435,relu,256,64,48,64,5,4,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,same,valid,1,1,COMPLETE
27,27,0.100000001,27:04.6,28:49.4,44.846027,1,0 days 00:01:44.846027,relu,256,480,48,64,5,4,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,same,valid,1,1,COMPLETE
28,28,0.100000001,27:18.6,29:00.6,42.064169,1,0 days 00:01:42.064169,relu,256,480,24,64,5,4,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,same,valid,1,1,COMPLETE
29,29,0.100000001,27:44.0,29:15.9,31.942479,1,0 days 00:01:31.942479,relu,256,448,24,64,5,4,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,same,valid,1,1,COMPLETE
30,30,0.100000001,27:53.7,29:20.8,27.14173,1,0 days 00:01:27.141730,tanh,128,64,48,64,5,4,0.01,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,1,1,COMPLETE
31,31,0.100000001,28:26.9,29:31.1,4.219994,1,0 days 00:01:04.219994,tanh,128,64,24,64,4,4,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,same,valid,1,1,COMPLETE
32,32,0.100000001,28:32.7,29:37.2,4.531484,1,0 days 00:01:04.531484,tanh,512,384,24,64,4,4,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,same,valid,1,3,COMPLETE
33,33,0.100000001,28:34.8,29:37.9,3.123945,1,0 days 00:01:03.123945,tanh,416,448,24,64,4,4,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,same,valid,1,3,COMPLETE
34,34,0.100000001,28:35.1,29:35.6,0.508735,1,0 days 00:01:00.508735,tanh,384,160,24,64,4,4,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,same,valid,1,3,COMPLETE
35,35,0.100000001,28:41.2,29:35.4,54.167057,0,0 days 00:00:54.167057,tanh,384,160,24,24,4,4,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,same,same,3,3,COMPLETE
36,36,0.100000001,28:41.5,29:36.7,55.230744,0,0 days 00:00:55.230744,tanh,480,448,24,24,4,4,0.01,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,same,valid,3,3,COMPLETE
37,37,0.100000001,28:49.4,29:34.8,45.394664,0,0 days 00:00:45.394664,tanh,384,160,24,24,4,4,0.1,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,same,3,3,COMPLETE
38,38,0.100000001,29:00.6,29:48.3,47.647894,0,0 days 00:00:47.647894,tanh,128,160,24,24,4,3,0.1,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,same,3,3,COMPLETE
39,39,0.100000001,29:15.9,30:06.0,50.041352,0,0 days 00:00:50.041352,tanh,416,160,24,24,4,3,0.1,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,same,3,3,COMPLETE
40,40,0.301999986,29:20.9,30:12.1,51.248124,0,0 days 00:00:51.248124,tanh,480,512,64,24,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,3,COMPLETE
41,41,0.349999994,29:31.1,30:22.3,51.219888,0,0 days 00:00:51.219888,tanh,192,160,64,24,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,3,COMPLETE
42,42,0.384000003,29:34.8,30:26.9,52.053369,0,0 days 00:00:52.053369,tanh,192,512,64,48,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
43,43,0.100000001,29:35.4,31:00.5,25.127474,1,0 days 00:01:25.127474,tanh,480,512,64,48,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,1,2,COMPLETE
44,44,0.328000009,29:35.6,30:57.7,22.051195,1,0 days 00:01:22.051195,tanh,480,384,64,48,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,1,2,COMPLETE
45,45,0.35800001,29:36.7,31:01.0,24.277784,1,0 days 00:01:24.277784,tanh,192,512,64,48,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,1,2,COMPLETE
46,46,0.342000008,29:37.2,31:00.6,23.454127,1,0 days 00:01:23.454127,sigmoid,192,512,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,1,2,COMPLETE
47,47,0.216000006,29:37.9,30:36.0,58.020544,0,0 days 00:00:58.020544,sigmoid,192,512,64,48,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,same,4,2,COMPLETE
48,48,0.194000006,29:48.3,30:49.0,0.687545,1,0 days 00:01:00.687545,sigmoid,192,512,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,4,2,COMPLETE
49,49,0.244000003,30:06.0,31:04.9,58.921698,0,0 days 00:00:58.921698,sigmoid,192,512,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,4,2,COMPLETE
50,50,0.208000004,30:12.1,31:05.1,52.996216,0,0 days 00:00:52.996216,sigmoid,192,512,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,4,2,COMPLETE
51,51,0.252000004,30:22.3,31:18.3,55.967542,0,0 days 00:00:55.967542,sigmoid,192,512,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,3,COMPLETE
52,52,0.222000003,30:26.9,31:16.2,49.295428,0,0 days 00:00:49.295428,sigmoid,64,512,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
53,53,0.252000004,30:36.0,31:25.0,48.966163,0,0 days 00:00:48.966163,sigmoid,192,512,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
54,54,0.363999993,30:49.0,31:34.3,45.310463,0,0 days 00:00:45.310463,tanh,480,224,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
55,55,0.351999998,30:57.7,31:37.7,39.992785,0,0 days 00:00:39.992785,tanh,480,384,64,48,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
56,56,0.374000013,31:00.5,31:39.6,39.038662,0,0 days 00:00:39.038662,tanh,64,384,64,48,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
57,57,0.268000007,31:00.6,31:38.9,38.294543,0,0 days 00:00:38.294543,sigmoid,192,384,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
58,58,0.307999998,31:01.0,31:38.9,37.938679,0,0 days 00:00:37.938679,sigmoid,192,384,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
59,59,0.294,31:04.9,31:41.7,36.790644,0,0 days 00:00:36.790644,sigmoid,192,384,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
60,60,0.386000007,31:05.1,31:41.3,36.202163,0,0 days 00:00:36.202163,tanh,64,256,64,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
61,61,0.34799999,31:16.2,31:54.6,38.450672,0,0 days 00:00:38.450672,tanh,320,128,64,48,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
62,62,0.126000002,31:18.3,31:55.4,37.09636,0,0 days 00:00:37.096360,tanh,320,384,64,48,4,5,0.0001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,valid,3,2,COMPLETE
63,63,0.178000003,31:25.0,32:02.4,37.400328,0,0 days 00:00:37.400328,selu,320,384,16,40,4,5,0.0001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,valid,3,2,COMPLETE
64,64,0.203999996,31:34.3,32:12.4,38.129657,0,0 days 00:00:38.129657,selu,160,384,64,48,3,5,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
65,65,0.324000001,31:37.7,32:15.1,37.480305,0,0 days 00:00:37.480305,selu,160,224,16,48,3,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
66,66,0.230000004,31:38.9,32:15.6,36.721129,0,0 days 00:00:36.721129,selu,320,224,52,40,3,5,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
67,67,0.165999994,31:38.9,32:16.4,37.47162,0,0 days 00:00:37.471620,selu,160,224,52,40,3,5,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,4,COMPLETE
68,68,0.230000004,31:39.6,32:15.8,36.217279,0,0 days 00:00:36.217279,selu,320,224,16,40,4,5,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,4,COMPLETE
69,69,0.153999999,31:41.3,32:17.3,35.931945,0,0 days 00:00:35.931945,selu,64,256,16,40,3,5,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
70,70,0.344000012,31:41.7,32:17.8,36.14696,0,0 days 00:00:36.146960,tanh,64,256,16,40,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,4,COMPLETE
71,71,0.175999999,31:54.6,32:29.6,35.032381,0,0 days 00:00:35.032381,selu,64,256,16,32,4,5,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,4,COMPLETE
72,72,0.360000014,31:55.4,32:30.4,35.055159,0,0 days 00:00:35.055159,tanh,64,224,16,40,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,4,COMPLETE
73,73,0.351999998,32:02.4,32:35.5,33.124756,0,0 days 00:00:33.124756,tanh,64,256,52,32,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
74,74,0.34799999,32:12.4,32:40.2,27.788433,0,0 days 00:00:27.788433,tanh,64,256,52,32,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,4,COMPLETE
75,75,0.354000002,32:15.1,32:41.2,26.020114,0,0 days 00:00:26.020114,tanh,64,256,52,32,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,4,COMPLETE
76,76,0.328000009,32:15.6,32:41.2,25.584314,0,0 days 00:00:25.584314,elu,64,256,32,32,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,2,COMPLETE
77,77,0.206,32:15.8,32:41.4,25.603349,0,0 days 00:00:25.603349,elu,64,416,32,16,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,3,4,COMPLETE
78,78,0.328000009,32:16.4,32:41.4,24.981984,0,0 days 00:00:24.981984,elu,64,256,32,32,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,2,2,COMPLETE
79,79,0.377999991,32:17.3,32:41.2,23.947779,0,0 days 00:00:23.947779,tanh,64,256,40,32,4,3,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,2,2,COMPLETE
