,number,value,datetime_start,datetime_complete,,,duration,act,h1,h2,f1,f2,k1,k2,lr,opt,p1,p2,s1,s2,state
0,0,0.090000004,25:21.0,25:59.2,38.149148,0,0 days 00:00:38.149148,tanh,64,160,52,64,3,4,0.0001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,valid,3,3,COMPLETE
1,1,0.25999999,25:21.1,26:20.9,59.863131,0,0 days 00:00:59.863131,tanh,384,320,40,64,4,4,0.001,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,same,1,3,COMPLETE
2,2,0.206,25:21.1,26:04.9,43.810796,0,0 days 00:00:43.810796,tanh,320,96,64,40,4,3,0.001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,2,2,COMPLETE
3,3,0.277999997,25:21.1,26:13.5,52.492772,0,0 days 00:00:52.492772,relu,256,224,24,48,5,4,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,valid,1,1,COMPLETE
4,4,0.140000001,25:21.1,26:01.4,40.393529,0,0 days 00:00:40.393529,sigmoid,448,224,40,48,3,5,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,same,same,4,1,COMPLETE
5,5,0.180000007,25:21.1,26:10.8,49.762669,0,0 days 00:00:49.762669,elu,448,320,24,32,3,4,1.00E-05,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,1,4,COMPLETE
6,6,0.257999986,25:21.1,26:39.2,18.196671,1,0 days 00:01:18.196671,tanh,224,512,64,52,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,valid,1,2,COMPLETE
7,7,0.219999999,25:21.1,26:06.6,45.520273,0,0 days 00:00:45.520273,selu,160,416,52,52,5,3,0.001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,valid,2,4,COMPLETE
8,8,0.167999998,25:21.1,26:00.9,39.881912,0,0 days 00:00:39.881912,relu,288,416,32,24,4,5,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,same,2,3,COMPLETE
9,9,0.100000001,25:21.1,25:56.4,35.37999,0,0 days 00:00:35.379990,sigmoid,384,256,16,48,3,4,0.1,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,same,valid,4,3,COMPLETE
10,10,0.101999998,25:56.4,26:39.1,42.681776,0,0 days 00:00:42.681776,relu,352,288,16,40,5,3,0.01,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,same,4,2,COMPLETE
11,11,0.312000006,25:59.2,26:56.9,57.711944,0,0 days 00:00:57.711944,tanh,256,160,24,64,4,4,0.01,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,same,valid,1,1,COMPLETE
