,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_momentum,params_optimiser2,state
30,30,0.8988518316019682,2023-05-28 15:25:57.111132,2023-05-28 17:10:31.567039,0 days 01:44:34.455907,32,0.6364711631565148,0.6397881612569075,adadelta,COMPLETE
31,31,0.9026790595954073,2023-05-28 15:39:50.384894,2023-05-28 17:30:37.611764,0 days 01:50:47.226870,32,0.7981533008849768,0.6143655990567201,adadelta,COMPLETE
32,32,0.896664844177146,2023-05-28 15:42:13.902315,2023-05-28 17:26:05.669960,0 days 01:43:51.767645,32,0.6624909718935937,0.6072253811613989,adadelta,COMPLETE
33,33,0.9021323127392018,2023-05-28 15:55:49.818782,2023-05-28 17:46:55.071251,0 days 01:51:05.252469,32,0.847865752242843,0.6145591331271913,adadelta,COMPLETE
34,34,0.9136139967195188,2023-05-28 16:06:06.268186,2023-05-28 17:59:42.550937,0 days 01:53:36.282751,32,0.5904295416938703,0.6340229871982094,adadelta,COMPLETE
35,35,0.8999453253143794,2023-05-28 16:12:18.508964,2023-05-28 17:59:01.807638,0 days 01:46:43.298674,32,0.6220604040674655,0.6254515439216611,adadelta,COMPLETE
36,36,0.9070530344450519,2023-05-28 16:17:31.870785,2023-05-28 18:04:30.112689,0 days 01:46:58.241904,32,0.6049983515314707,0.6297966537435775,adadelta,COMPLETE
37,37,0.9026790595954073,2023-05-28 16:19:19.512018,2023-05-28 18:04:16.396704,0 days 01:44:56.884686,32,0.6168840547689982,0.6408355896267875,adadelta,COMPLETE
38,38,0.8698742482230727,2023-05-28 16:19:31.589391,2023-05-28 18:01:06.854051,0 days 01:41:35.264660,16,0.4452557044535158,0.6514680275009259,sgd,COMPLETE
39,39,0.8851831601968289,2023-05-28 16:20:06.822477,2023-05-28 17:52:07.625710,0 days 01:32:00.803233,16,0.4506653190904977,0.635342848337455,sgd,COMPLETE
40,40,0.8709677419354839,2023-05-28 17:10:31.592952,2023-05-28 18:25:41.358306,0 days 01:15:09.765354,16,0.6708721341050671,0.6338485167341249,sgd,COMPLETE
41,41,0.8769819573537452,2023-05-28 17:26:05.688067,2023-05-28 18:39:25.775756,0 days 01:13:20.087689,16,0.8504375969717954,0.6434292739972661,sgd,COMPLETE
42,42,0.9092400218698743,2023-05-28 17:30:37.647003,2023-05-28 18:53:05.319455,0 days 01:22:27.672452,16,0.6777687847145323,0.6435178370840803,adadelta,COMPLETE
43,43,0.9037725533078185,2023-05-28 17:46:55.094041,2023-05-28 19:11:32.024202,0 days 01:24:36.930161,16,0.6947754536111652,0.6479735982792787,adadelta,COMPLETE
44,44,0.8726079825041007,2023-05-28 17:52:07.628862,2023-05-28 19:14:24.932879,0 days 01:22:17.304017,16,0.6964118719017923,0.6484536793962332,sgd,COMPLETE
45,45,0.9125205030071077,2023-05-28 17:59:01.818602,2023-05-28 19:16:29.931012,0 days 01:17:28.112410,16,0.6653274691927906,0.6566930857927465,adadelta,COMPLETE
46,46,0.8704209950792783,2023-05-28 17:59:42.563954,2023-05-28 19:28:17.277144,0 days 01:28:34.713190,16,0.5903425005591499,0.6399158140344128,sgd,COMPLETE
47,47,0.8687807545106616,2023-05-28 18:01:06.859817,2023-05-28 19:32:22.315989,0 days 01:31:15.456172,16,0.6881793629856523,0.651828730091119,adamax,COMPLETE
48,48,0.8518316019682887,2023-05-28 18:04:16.411617,2023-05-28 19:18:15.377423,0 days 01:13:58.965806,16,0.690327544030222,0.6550104642258471,adamax,COMPLETE
49,49,0.8337889557135046,2023-05-28 18:04:30.114478,2023-05-28 19:36:13.324890,0 days 01:31:43.210412,16,0.5640426820937948,0.6548610428010146,adamax,COMPLETE
50,50,0.910880262438491,2023-05-28 18:25:41.384949,2023-05-28 19:39:22.964491,0 days 01:13:41.579542,16,0.7023953683861202,0.6599556457247591,adadelta,COMPLETE
51,51,0.9092400218698743,2023-05-28 18:39:25.812167,2023-05-28 19:54:40.781687,0 days 01:15:14.969520,16,0.5546829937199809,0.6003407338479535,adadelta,COMPLETE
52,52,0.8594860579551667,2023-05-28 18:53:05.324374,2023-05-28 20:20:03.170910,0 days 01:26:57.846536,16,0.5558848776488801,0.6015134300640751,rmsprop,COMPLETE
53,53,0.8458173865500274,2023-05-28 19:11:32.033384,2023-05-28 21:09:04.389692,0 days 01:57:32.356308,16,0.563916703907914,0.6008358285391652,rmsprop,COMPLETE
54,54,0.8572990705303445,2023-05-28 19:14:24.937580,2023-05-28 21:24:04.753426,0 days 02:09:39.815846,16,0.5641607730181916,0.6602767760292445,rmsprop,COMPLETE
55,55,0.8370694368507381,2023-05-28 19:16:29.934149,2023-05-28 21:03:37.689384,0 days 01:47:07.755235,16,0.553590444060016,0.6014006476526096,rmsprop,COMPLETE
56,56,0.8731547293603061,2023-05-28 19:18:15.380819,2023-05-28 21:27:20.344023,0 days 02:09:04.963204,128,0.5521685742420853,0.601020933509339,adagrad,COMPLETE
57,57,0.8808091853471842,2023-05-28 19:28:17.290555,2023-05-28 21:59:24.798847,0 days 02:31:07.508292,128,0.5308404920108529,0.6840083375654424,rmsprop,COMPLETE
