,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_momentum,params_optimiser,state
30,30,0.35895936860567085,2023-05-28 00:44:58.264102,2023-05-28 00:57:18.732352,0 days 00:12:20.468250,64,0.2157030297554216,0.7905954932964538,adadelta,COMPLETE
31,31,0.3449283835135925,2023-05-28 00:48:36.339325,2023-05-28 01:01:07.368469,0 days 00:12:31.029144,64,0.3263263031877155,0.7983548873427778,adadelta,COMPLETE
32,32,0.3510669394913768,2023-05-28 00:48:39.524503,2023-05-28 01:01:08.561974,0 days 00:12:29.037471,64,0.31365712504593557,0.7867249800566954,sgd,COMPLETE
33,33,0.35983630517392573,2023-05-28 00:49:36.241061,2023-05-28 01:02:00.143570,0 days 00:12:23.902509,64,0.3287072507727689,0.8347120907367707,sgd,COMPLETE
34,34,0.3864367144109909,2023-05-28 00:49:43.687541,2023-05-28 01:02:07.998149,0 days 00:12:24.310608,64,0.3443760893070982,0.8473914297825093,sgd,COMPLETE
35,35,0.3498976907337036,2023-05-28 00:50:43.132472,2023-05-28 01:04:55.310697,0 days 00:14:12.178225,32,0.33650584297361275,0.8492901205269795,sgd,COMPLETE
36,36,0.35749780765857936,2023-05-28 00:54:17.856376,2023-05-28 01:08:06.047459,0 days 00:13:48.191083,32,0.32783687543053164,0.8409240215618969,adam,COMPLETE
37,37,0.37532885121309556,2023-05-28 00:54:18.030995,2023-05-28 01:08:06.282647,0 days 00:13:48.251652,32,0.343615709955435,0.8486877165619554,adam,COMPLETE
38,38,0.3724057293189126,2023-05-28 00:54:20.066882,2023-05-28 01:06:22.300548,0 days 00:12:02.233666,64,0.356394559776562,0.841835368749223,adam,COMPLETE
39,39,0.3545746857643964,2023-05-28 00:54:21.863583,2023-05-28 01:06:23.842564,0 days 00:12:01.978981,64,0.14979694835666185,0.8531033532618147,adam,COMPLETE
40,40,0.33177433498976905,2023-05-28 00:57:18.733758,2023-05-28 01:09:06.497300,0 days 00:11:47.763542,64,0.34259371825366863,0.8336104611677378,adadelta,COMPLETE
41,41,0.3458053200818474,2023-05-28 01:01:07.371880,2023-05-28 01:14:05.633002,0 days 00:12:58.261122,32,0.1290528370732893,0.8313152333653423,adam,COMPLETE
42,42,0.37386729026600407,2023-05-28 01:01:08.563179,2023-05-28 01:14:06.730803,0 days 00:12:58.167624,32,0.14787953863921277,0.8291857610839678,adam,COMPLETE
43,43,0.31862028646594565,2023-05-28 01:02:00.145586,2023-05-28 01:17:40.305622,0 days 00:15:40.160036,16,0.6085186384131495,0.7478506839637644,adam,COMPLETE
44,44,0.391406021631102,2023-05-28 01:02:08.000108,2023-05-28 01:17:44.926400,0 days 00:15:36.926292,16,0.16002886738825708,0.7574875060258321,adam,COMPLETE
45,45,0.32212803273896523,2023-05-28 01:04:55.312931,2023-05-28 01:20:20.781916,0 days 00:15:25.468985,16,0.5741210422395905,0.7481625436302021,adam,COMPLETE
46,46,0.34258988599824614,2023-05-28 01:06:22.301982,2023-05-28 01:21:44.780869,0 days 00:15:22.478887,16,0.13988495301245837,0.7483589585254493,adam,COMPLETE
47,47,0.3232972814966384,2023-05-28 01:06:23.844185,2023-05-28 01:21:47.945048,0 days 00:15:24.100863,16,0.5708326036613874,0.7561807622052916,adadelta,COMPLETE
48,48,0.36422098801520025,2023-05-28 01:08:06.049232,2023-05-28 01:23:31.073443,0 days 00:15:25.024211,16,0.6224199847772336,0.7377247267694801,adadelta,COMPLETE
49,49,0.40192926045016075,2023-05-28 01:08:06.286073,2023-05-28 01:23:32.160540,0 days 00:15:25.874467,16,0.1543749189404139,0.755764497178313,adadelta,COMPLETE
