number,opt,learning_rate,momentum,batch_size,val_acc,mac,params,time
81,adagrad,0.0255,0.801010121,16,0.907599781,4.12 GMac,209.0 k,444.3738196
82,adagrad,0.0255,0.80107319,32,0.90267906,4.12 GMac,209.0 k,673.9793825
83,adagrad,0.0255,0.801012051,128,0.899945325,4.12 GMac,209.0 k,1030.251566
84,adagrad,0.0508,0.69,64,0.895024604,4.12 GMac,209.0 k,805.0043247
85,adagrad,0.0504,0.8,128,0.901038819,4.12 GMac,209.0 k,1040.09403
86,adagrad,0.0255,0.80107319,32,0.902132313,4.12 GMac,209.0 k,695.9747005
87,adagrad,0.0255,0.89,64,0.905412794,4.12 GMac,209.0 k,943.50669
88,adagrad,0.0504,0.852428205,16,0.911427009,4.12 GMac,209.0 k,676.8905466
89,adagrad,0.0255,0.801073191,128,0.900492072,4.12 GMac,209.0 k,1087.911207
90,adagrad,0.0301,0.8,128,0.901585566,4.12 GMac,209.0 k,1081.732257
91,adagrad,0.0255,0.801010121,32,0.907053034,4.12 GMac,209.0 k,697.0472016
92,adagrad,0.0255,0.801012052,16,0.913613997,4.12 GMac,209.0 k,480.0912528
93,adagrad,0.035,0.99,128,0.901585566,4.12 GMac,209.0 k,1078.686635
94,adagrad,0.0255,0.801030101,32,0.899945325,4.12 GMac,209.0 k,696.6092706
95,adagrad,0.0504,0.852428205,128,0.901038819,4.12 GMac,209.0 k,1084.147572
96,adagrad,0.0255,0.80107319,16,0.911427009,4.12 GMac,209.0 k,493.952723
97,adagrad,0.0255,0.801010121,32,0.905412794,4.12 GMac,209.0 k,701.9480948
98,adagrad,0.0504,0.96,16,0.909240022,4.12 GMac,209.0 k,488.9146845
99,adagrad,0.0255,0.801010121,128,0.911973756,4.12 GMac,209.0 k,1079.651257
100,adagrad,0.0255,0.802820525,64,0.891197376,4.12 GMac,209.0 k,942.2451539
